"crash_id","crash_datetime","crash_date","latitude","longitude","n_crash_reports","contains_fatality_words","contains_pedestrian_words","contains_matatu_words","contains_motorcycle_words"
2902,2017-10-12 06:10:58,2017-10-12,-1.280731,36.964065,2,0,0,0,0
2903,2017-10-12 10:24:58,2017-10-12,-1.365051,36.911713,2,0,0,1,0
2904,2017-10-12 17:14:59,2017-10-12,-1.256693,36.854704,2,0,0,0,0
2905,2017-10-13 06:59:31,2017-10-13,-1.27499082129975,36.8237400178949,9,0,1,0,0
2906,2017-10-14 12:27:35,2017-10-14,-1.266714,36.834694,4,0,0,0,0
2907,2017-10-14 20:42:06,2017-10-14,-1.149805,36.962075,3,0,0,0,0
2908,2017-10-15 16:23:08,2017-10-15,-1.093941,37.0303095,2,1,0,0,0
2909,2017-10-17 06:20:16,2017-10-17,-1.270912,36.807367125,3,0,0,0,0
2910,2017-10-18 17:57:10,2017-10-18,-1.262686,36.800498,2,0,0,0,1
2911,2017-10-19 07:37:40,2017-10-19,-1.462711,37.012074,3,0,0,0,0
2912,2017-10-20 08:00:40,2017-10-20,-1.26935175,36.806341,2,0,0,0,0
2913,2017-10-21 14:43:10,2017-10-21,-1.316605375,36.83387525,2,0,0,0,0
2914,2017-10-22 18:50:40,2017-10-22,-1.204107,36.916781,2,0,0,0,0
2915,2017-10-22 21:43:10,2017-10-22,-1.36511875,36.91155204,2,1,0,0,0
2916,2017-10-23 04:02:40,2017-10-23,-1.261688,36.725195,2,0,0,0,0
2917,2017-10-23 17:18:41,2017-10-23,-1.21675105,36.894364,2,0,0,1,0
2918,2017-10-24 15:27:10,2017-10-24,-1.024290125,37.067126375,2,0,0,0,0
2919,2017-10-26 20:58:27,2017-10-26,-1.260385,36.718111,3,0,0,0,0
2920,2017-10-30 06:29:27,2017-10-30,-1.34474027014238,36.9022418547826,4,1,0,0,0
2921,2017-10-30 07:26:57,2017-10-30,-1.172443,36.850868,2,0,0,1,0
2922,2017-10-30 07:37:27,2017-10-30,-1.23095827628287,36.8422865395812,3,0,0,0,0
2923,2017-10-30 15:46:56,2017-10-30,-1.329371175,36.8557592,2,0,0,0,0
2924,2017-10-31 07:46:26,2017-10-31,-1.26028344768964,36.842922498505,3,0,0,0,0
2925,2017-10-31 07:47:26,2017-10-31,-1.2563861903475,36.8550072457734,4,0,0,0,0
2926,2017-11-02 16:50:58,2017-11-02,-1.2971575,36.802535,2,0,0,0,0
2927,2017-11-02 20:35:58,2017-11-02,-1.277201,36.7722265,3,1,0,0,0
2928,2017-11-03 20:17:28,2017-11-03,-1.188671,36.931044,2,0,0,0,0
2929,2017-11-04 05:28:58,2017-11-04,-1.30005925,36.7739165,2,0,0,0,0
2930,2017-11-04 07:22:28,2017-11-04,-1.32076286069414,36.8087410407755,3,0,0,0,0
2931,2017-11-06 10:26:40,2017-11-06,-1.3315585,36.86152975,3,0,0,0,0
2932,2017-11-07 20:27:10,2017-11-07,-1.32015,36.8373345,2,0,0,0,0
2933,2017-11-09 07:37:10,2017-11-09,-1.479943,37.043182,2,1,0,0,0
2934,2017-11-10 07:57:10,2017-11-10,-1.26336,36.838923,2,0,0,0,0
2935,2017-11-10 07:59:10,2017-11-10,-1.25000275,36.820415,2,0,0,0,0
2936,2017-11-10 20:18:10,2017-11-10,-1.1808665,36.9385855,2,0,0,0,0
2937,2017-11-11 07:55:10,2017-11-11,-1.30662797595229,36.7383102926404,6,0,0,0,0
2938,2017-11-13 07:52:41,2017-11-13,-1.259459,36.844829,2,0,0,0,0
2939,2017-11-13 15:53:41,2017-11-13,-1.27411417565659,36.8126229216495,4,0,0,0,0
